SCHL_ID,SCHOOL_CODE,SCHOOL_NAME,PROVINCE_CODE,PROVINCE_NAME,DISTRICT_CODE,DISTRICT_NAME,LLGV_CODE,LLGV_NAME,SECTOR_CODE
18490,62G61,DALUA ELEMENTARY SCHOOL,62,MADANG PROVINCE,6201,BOGIA,620101,ALMAMI RURAL,ELEM
14630,64C49,KABAYA ONE ELEMENTARY SCHOOL,64,WEST NEW BRITAIN PROVINCE,6402,TALASEA,640206,BIALLA RURAL,ELEM
15196,60C73,SOMBOI ELEMENTARY SCHOOL,60,SANDAUN PROVINCE,6004,VANIMO/GREEN RIVER,600413,BEWANI/WUTUNG ONEI RURAL,ELEM
18724,64C68,GALAI 4 ELEMENTARY SCHOOL,64,WEST NEW BRITAIN PROVINCE,6402,TALASEA,640210,MOSA RURAL,ELEM
12479,6.3E+96,GIYUKIA ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6309,TEWAI / SIASSI,630926,SIALUM RURAL,ELEM
12529,57B44,SIGOYA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5708,UNGGAI/BENNA,570811,UNGGAI/BENNA RURAL,ELEM
14553,58C84,NEBARE ELEMENTARY SCHOOL,58,SIMBU PROVINCE,5806,SINASINA/YONGGOMUGL,580618,SUAI RURAL,ELEM
14554,58D01,MEIYO ELEMENTARY SCHOOL,58,SIMBU PROVINCE,5803,KARIMUI/NOMANE,580307,KARIMUI RURAL,ELEM
15280,51A68,GAGORO ELEMENTARY SCHOOL,51,WESTERN PROVINCE,5101,MIDDLE FLY,510102,BAMU RURAL,ELEM
12983,66B08,BALANGKOLEM ELEMENTARY SCHOOL,66,NEW IRELAND PROVINCE,6602,NAMATANAI,660208,TANIR RURAL,ELEM
12985,66B09,MATO ELEMENTARY SCHOOL,66,NEW IRELAND PROVINCE,6602,NAMATANAI,660208,TANIR RURAL,ELEM
12999,65C30,BOKOGTATAR ELEMENTARY SCHOOL,65,EAST NEW BRITAIN PROVINCE,6503,POMIO,650310,CENRTAL/ INLAND POMIO RURAL,ELEM
13001,65C31,BOVANPUN ELEMENTARY SCHOOL,65,EAST NEW BRITAIN PROVINCE,6503,POMIO,650310,CENRTAL/ INLAND POMIO RURAL,ELEM
13004,65C36,KEMATANME ELEMENTARY SCHOOL,65,EAST NEW BRITAIN PROVINCE,6503,POMIO,650310,CENRTAL/ INLAND POMIO RURAL,ELEM
12680,57D20,KURANKA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5706,OBURA/WONENARA,570608,LAMARI RURAL,ELEM
12683,57B74,WANDE ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5702,GOROKA,570202,GOROKA RURAL,ELEM
12686,57D21,BAROKILA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5706,OBURA/WONENARA,570608,LAMARI RURAL,ELEM
12690,57D24,MATONA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5706,OBURA/WONENARA,570608,LAMARI RURAL,ELEM
